Game_Title,Platform,Release_Date,Meta_Score,User_Score
The Witcher 3: Wild Hunt - Hearts of Stone,PlayStation4,,90,9.0
Metal Gear Solid HD Collection,Xbox360,,90,8.8
Viewtiful Joe,PlayStation2,,90,8.3
Madden NFL 2005,GameCube,,90,tbd
Tiger Woods PGA Tour 2003,GameCube,,90,6.7
Freedom Force,PC,,90,7.7
NBA 2K2,Xbox,,90,7.6
Colin McRae Rally 2.0,PlayStation,,90,8.3
FIFA Soccer 13,Xbox360,,90,6.2
Into the Breach,PC,,90,7.8
LIMBO,PlayStation3,,90,8.0
GTR 2,PC,,90,8.6
Sekiro: Shadows Die Twice,PlayStation4,,90,8.1
Yakuza 0,XboxOne,,90,7.9
NBA 2K13,PlayStation3,,90,8.0
Grand Theft Auto IV,PC,,90,6.9
Total War: Shogun 2,PC,,90,8.4
Empire: Total War,PC,,90,7.0
Rayman Legends,Xbox360,,90,8.2
Astro Bot: Rescue Mission,PlayStation4,,90,8.9
Bayonetta + Bayonetta 2,Switch,,90,8.7
Kentucky Route Zero - Act IV,PC,,90,6.3
Guacamelee! Super Turbo Championship Edition,WiiU,,90,7.7
NBA 2K12,Xbox360,,90,7.7
ESPN NHL Hockey,PlayStation2,,90,7.0
Rayman 2 Revolution,PlayStation2,,90,8.6
Madden NFL 2001,PlayStation,,90,6.8
Final Fantasy VIII,PlayStation,,90,8.7
Beetle Adventure Racing,Nintendo64,,90,7.5
Command & Conquer: Red Alert,PC,,90,8.8
The Witcher 3: Wild Hunt - Hearts of Stone,PC,,89,9.1
Star Wars Jedi Knight II: Jedi Outcast,PC,,89,8.7
Wipeout HD Fury,PlayStation3,,89,8.2
Halo 2 Multiplayer Map Pack,Xbox,,89,7.8
Resident Evil 2,PC,,89,9.0
Borderlands 2,Xbox360,,89,8.3
Shin Megami Tensei: Persona 3 Portable,PSP,,89,7.4
XCOM: Enemy Unknown,PlayStation3,,89,8.3
Xenoblade Chronicles: Definitive Edition,Switch,2020-05-29,89,8.9
Call of Duty 2,Xbox360,,89,8.2
Burnout Revenge,Xbox,,89,8.4
Dragon Quest VIII: Journey of the Cursed King,PlayStation2,,89,8.7
Metroid: Zero Mission,GameBoyAdvance,,89,8.8
The Legend of Zelda: Majora's Mask 3D,3DS,,89,8.9
Skylanders Swap Force,WiiU,,89,6.1
The Walking Dead: A Telltale Games Series,PC,,89,8.8
Tiger Woods PGA Tour 2004,PlayStation2,,89,8.6
Age of Mythology,PC,,89,8.9
Pikmin,GameCube,,89,8.7
Madden NFL 2002,GameCube,,89,6.0
Sacrifice,PC,,89,8.7
Samba de Amigo,Dreamcast,,89,8.4
Wipeout 3,PlayStation,,89,8.8
Monster Hunter: World - Iceborne,PlayStation4,,89,8.4
Plants vs. Zombies,Xbox360,,89,8.4
Dead Cells,Switch,,89,8.4
Dark Souls III,PC,,89,8.4
Rez HD,Xbox360,,89,8.0
NBA Street V3,PlayStation2,,89,8.4
Demon's Souls,PlayStation3,,89,8.9
Pillars of Eternity,PC,,89,8.3
The Elder Scrolls III: Morrowind,PC,2002-05-01,89,8.9
Castlevania: Symphony of the Night,Xbox360,,89,8.6
Into the Breach,Switch,,89,7.9
F1 2019,XboxOne,,89,6.8
Fable II,Xbox360,,89,6.6
Rez Infinite,PlayStation4,,89,7.6
Rocksmith 2014 Edition,PC,,89,7.9
NHL 2K3,PlayStation2,,89,7.8
Final Fantasy Chronicles,PlayStation,,89,9.1
Fallout,PC,,89,8.8
The Beatles: Rock Band,Wii,,89,7.7
Assassin's Creed: Brotherhood,Xbox360,,89,8.4
Left 4 Dead 2,Xbox360,,89,8.5
World Soccer Winning Eleven 9,PC,,89,8.2
